Offender_isMale,Offender_ethnicAppearance,Offender_Age,DASH_Assessment,AccHowKnown,Known 1,Known 2,ProceedingsType,Previous_Crimes,Crimes in pre 1,Previous_DV,DV in Pre 1
0,7,28.0,2,0,0,0,2,28.0,0,28.0,0
1,3,34.0,0,4,0,1,0,34.0,1,34.0,0
0,3,37.0,2,0,0,0,0,37.0,0,37.0,0
0,7,36.0,1,1,0,1,0,36.0,0,36.0,0
1,3,23.0,1,4,0,1,0,23.0,0,23.0,0
0,6,48.0,1,2,1,1,0,48.0,0,48.0,0
0,6,47.0,2,0,0,0,0,47.0,0,47.0,0
1,6,26.0,1,4,0,1,5,26.0,0,26.0,0
0,6,22.0,1,1,0,1,0,22.0,0,22.0,0
1,2,33.0,1,5,1,0,3,33.0,0,33.0,0
0,7,21.0,2,1,0,1,0,21.0,1,21.0,0
0,3,20.0,2,1,0,1,0,20.0,0,20.0,0
0,7,34.0,0,2,1,1,0,34.0,0,34.0,0
0,3,41.0,2,1,0,1,0,41.0,1,41.0,0
0,3,33.0,2,1,0,1,5,33.0,0,33.0,0
0,3,43.0,1,10,1,1,0,43.0,1,43.0,0
0,6,49.0,1,2,1,1,0,49.0,0,49.0,0
0,3,36.0,2,0,0,0,0,36.0,1,36.0,1
1,6,42.0,1,3,0,0,0,42.0,1,42.0,0
0,3,57.0,2,7,1,0,0,57.0,0,57.0,0
0,5,62.0,2,2,1,1,0,62.0,0,62.0,0
0,6,40.0,1,10,1,1,0,40.0,0,40.0,0
0,3,49.0,1,0,0,0,0,49.0,0,49.0,0
0,6,24.0,0,1,0,1,0,24.0,0,24.0,0
1,3,25.0,1,4,0,1,7,25.0,0,25.0,0
1,6,39.0,1,3,0,0,0,39.0,1,39.0,0
0,6,43.0,0,10,1,1,0,43.0,1,43.0,0
0,6,36.0,2,1,0,1,0,36.0,0,36.0,0
1,6,50.0,2,4,0,1,0,50.0,0,50.0,0
1,6,44.0,0,4,0,1,3,44.0,0,44.0,0
1,3,26.0,1,0,0,0,0,26.0,0,26.0,0
0,6,31.0,1,3,0,0,0,31.0,0,31.0,0
0,2,28.0,0,1,0,1,0,28.0,0,28.0,0
1,3,35.0,1,4,0,1,2,35.0,0,35.0,0
0,3,28.0,1,1,0,1,0,28.0,1,28.0,0
0,7,35.0,0,1,0,1,0,35.0,0,35.0,0
1,7,28.0,1,3,0,0,2,28.0,0,28.0,0
1,6,22.0,1,4,0,1,0,22.0,0,22.0,0
1,3,41.0,1,4,0,1,0,41.0,0,41.0,0
1,2,29.0,2,3,0,0,0,29.0,0,29.0,0
0,6,23.0,2,1,0,1,0,23.0,1,23.0,0
1,9,46.0,0,13,1,0,2,46.0,0,46.0,0
0,3,25.0,2,0,0,0,0,25.0,0,25.0,0
0,6,36.0,1,1,0,1,0,36.0,0,36.0,0
0,3,36.0,1,2,1,1,0,36.0,0,36.0,0
0,6,41.0,0,1,0,1,3,41.0,0,41.0,0
1,3,25.0,1,4,0,1,0,25.0,0,25.0,0
0,6,38.0,2,2,1,1,0,38.0,0,38.0,0
1,6,30.0,1,4,0,1,0,30.0,0,30.0,0
0,3,35.0,0,0,0,0,0,35.0,0,35.0,0
1,6,30.0,2,4,0,1,0,30.0,0,30.0,0
1,3,38.0,2,6,1,1,0,38.0,0,38.0,0
0,3,20.0,0,1,0,1,0,20.0,0,20.0,0
0,7,40.0,2,4,0,1,0,40.0,0,40.0,0
0,6,56.0,2,0,0,0,0,56.0,0,56.0,0
0,2,42.0,1,2,1,1,0,42.0,0,42.0,0
0,3,20.0,0,1,0,1,0,20.0,1,20.0,1
1,3,20.0,1,8,0,0,0,20.0,0,20.0,0
0,6,26.0,2,1,0,1,0,26.0,1,26.0,0
1,6,44.0,1,4,0,1,0,44.0,1,44.0,0
0,6,50.0,0,1,0,1,0,50.0,0,50.0,0
0,6,38.0,2,2,1,1,2,38.0,0,38.0,0
1,3,40.0,1,3,0,0,0,40.0,0,40.0,0
0,2,23.0,2,1,0,1,0,23.0,1,23.0,1
0,3,38.0,2,0,0,0,0,38.0,0,38.0,0
1,9,30.0,2,4,0,1,0,30.0,0,30.0,0
0,6,54.0,1,1,0,1,0,54.0,0,54.0,0
0,2,21.0,1,2,1,1,0,21.0,0,21.0,0
0,3,27.0,2,1,0,1,0,27.0,0,27.0,0
0,5,26.0,0,1,0,1,0,26.0,0,26.0,0
0,3,25.0,0,0,0,0,0,25.0,1,25.0,0
0,6,43.0,1,1,0,1,0,43.0,0,43.0,0
0,6,16.0,1,1,0,1,0,16.0,1,16.0,0
0,2,47.0,1,2,1,1,0,47.0,0,47.0,0
0,6,34.0,2,1,0,1,5,34.0,0,34.0,0
0,6,33.0,0,1,0,1,0,33.0,0,33.0,0
0,2,31.0,1,2,1,1,0,31.0,0,31.0,0
0,2,20.0,2,1,0,1,0,20.0,0,20.0,0
1,3,35.0,2,6,1,1,0,35.0,0,35.0,0
0,6,33.0,1,0,0,0,0,33.0,1,33.0,1
0,3,18.0,3,1,0,1,5,18.0,1,18.0,0
0,6,41.0,1,1,0,1,0,41.0,1,41.0,0
0,6,26.0,1,1,0,1,0,26.0,0,26.0,0
0,3,28.0,0,0,0,0,7,28.0,1,28.0,1
0,3,35.0,1,2,1,1,0,35.0,0,35.0,0
1,6,24.0,2,4,0,1,0,24.0,0,24.0,0
0,5,35.0,2,2,1,1,0,35.0,1,35.0,0
0,9,29.0,0,0,0,0,0,29.0,0,29.0,0
1,6,31.0,2,3,0,0,0,31.0,1,31.0,0
0,6,48.0,2,1,0,1,0,48.0,0,48.0,0
0,6,35.0,2,0,0,0,5,35.0,0,35.0,0
0,2,65.0,0,2,1,1,0,65.0,0,65.0,0
1,3,38.0,1,4,0,1,2,38.0,0,38.0,0
0,6,52.0,1,2,1,1,0,52.0,0,52.0,0
1,6,31.0,2,4,0,1,0,31.0,0,31.0,0
0,3,19.0,0,4,0,1,1,19.0,0,19.0,0
0,4,33.0,1,2,1,1,0,33.0,0,33.0,0
0,2,21.0,0,1,0,1,0,21.0,1,21.0,0
1,3,35.0,2,3,0,0,0,35.0,0,35.0,0
0,6,17.0,1,1,0,1,0,17.0,0,17.0,0
0,6,44.0,2,2,1,1,0,44.0,0,44.0,0
0,3,28.0,2,9,1,0,0,28.0,1,28.0,0
0,3,46.0,2,0,0,0,0,46.0,1,46.0,1
1,5,35.0,1,6,1,1,0,35.0,0,35.0,0
0,3,41.0,1,1,0,1,0,41.0,0,41.0,0
0,6,30.0,1,1,0,1,6,30.0,0,30.0,0
0,6,20.0,0,1,0,1,0,20.0,0,20.0,0
1,3,16.0,3,1,0,1,0,16.0,0,16.0,0
1,4,25.0,1,3,0,0,2,25.0,0,25.0,0
0,6,30.0,0,14,0,1,5,30.0,0,30.0,0
1,6,34.0,1,4,0,1,0,34.0,0,34.0,0
0,3,27.0,0,0,0,0,0,27.0,1,27.0,0
0,6,20.0,1,0,0,0,7,20.0,1,20.0,0
0,6,43.0,2,1,0,1,0,43.0,0,43.0,0
0,3,39.0,2,1,0,1,0,39.0,0,39.0,0
0,5,40.0,1,2,1,1,2,40.0,0,40.0,0
0,6,37.0,2,7,1,0,0,37.0,0,37.0,0
0,6,17.0,1,0,0,0,0,17.0,0,17.0,0
0,3,45.0,2,2,1,1,0,45.0,0,45.0,0
0,6,19.0,2,0,0,0,7,19.0,0,19.0,0
0,6,43.0,2,2,1,1,0,43.0,0,43.0,0
1,9,26.0,2,6,1,1,2,26.0,0,26.0,0
1,6,22.0,1,3,0,0,0,22.0,0,22.0,0
1,6,40.0,0,4,0,1,0,40.0,0,40.0,0
1,2,23.0,1,6,1,1,0,23.0,0,23.0,0
0,3,31.0,1,2,1,1,0,31.0,0,31.0,0
0,2,32.0,2,1,0,1,0,32.0,0,32.0,0
0,3,44.0,0,2,1,1,0,44.0,1,44.0,0
0,6,42.0,1,7,1,0,3,42.0,0,42.0,0
1,6,48.0,0,3,0,0,0,48.0,0,48.0,0
0,3,41.0,0,2,1,1,0,41.0,0,41.0,0
0,5,33.0,0,2,1,1,0,33.0,0,33.0,0
0,3,20.0,2,0,0,0,0,20.0,0,20.0,0
0,6,54.0,2,0,0,0,0,54.0,1,54.0,0
1,3,35.0,2,6,1,1,0,35.0,0,35.0,0
1,6,24.0,1,4,0,1,0,24.0,0,24.0,0
0,3,45.0,0,4,0,1,0,45.0,0,45.0,0
0,2,26.0,2,0,0,0,0,26.0,0,26.0,0
0,3,51.0,0,1,0,1,0,51.0,0,51.0,0
0,3,22.0,2,1,0,1,0,22.0,0,22.0,0
0,3,29.0,2,0,0,0,0,29.0,0,29.0,0
1,2,19.0,2,4,0,1,0,19.0,0,19.0,0
1,6,29.0,1,6,1,1,0,29.0,0,29.0,0
1,6,50.0,0,4,0,1,0,50.0,1,50.0,1
0,6,42.0,1,1,0,1,0,42.0,0,42.0,0
0,3,46.0,1,0,0,0,0,46.0,0,46.0,0
0,2,24.0,0,0,0,0,0,24.0,1,24.0,1
0,3,31.0,1,1,0,1,5,31.0,0,31.0,0
0,2,41.0,2,2,1,1,0,41.0,0,41.0,0
0,6,27.0,2,1,0,1,0,27.0,0,27.0,0
0,3,48.0,2,1,0,1,0,48.0,0,48.0,0
0,6,33.0,1,0,0,0,0,33.0,1,33.0,1
0,6,35.0,2,0,0,0,0,35.0,1,35.0,0
0,6,28.0,0,2,1,1,0,28.0,0,28.0,0
1,6,23.0,1,3,0,0,0,23.0,0,23.0,0
1,6,48.0,1,6,1,1,0,48.0,0,48.0,0
1,6,44.0,1,3,0,0,0,44.0,0,44.0,0
1,6,50.0,1,6,1,1,0,50.0,0,50.0,0
0,6,33.0,0,1,0,1,0,33.0,0,33.0,0
1,6,26.0,2,1,0,1,0,26.0,0,26.0,0
1,6,47.0,1,3,0,0,0,47.0,0,47.0,0
0,6,34.0,0,2,1,1,0,34.0,0,34.0,0
0,3,50.0,2,0,0,0,0,50.0,0,50.0,0
0,3,33.0,2,0,0,0,0,33.0,1,33.0,0
0,6,32.0,0,1,0,1,0,32.0,0,32.0,0
0,6,27.0,0,1,0,1,0,27.0,1,27.0,1
0,6,28.0,1,1,0,1,0,28.0,0,28.0,0
0,3,28.0,2,1,0,1,0,28.0,1,28.0,0
0,2,53.0,1,2,1,1,0,53.0,0,53.0,0
0,3,22.0,0,1,0,1,0,22.0,0,22.0,0
1,3,37.0,2,3,0,0,0,37.0,0,37.0,0
1,7,17.0,1,3,0,0,0,17.0,0,17.0,0
0,6,44.0,2,1,0,1,0,44.0,0,44.0,0
0,6,51.0,0,0,0,0,0,51.0,0,51.0,0
1,6,42.0,1,4,0,1,0,42.0,0,42.0,0
0,6,29.0,2,4,0,1,0,29.0,0,29.0,0
0,2,28.0,2,7,1,0,0,28.0,1,28.0,1
1,6,43.0,2,6,1,1,0,43.0,1,43.0,0
0,3,39.0,2,0,0,0,5,39.0,0,39.0,0
0,6,32.0,0,1,0,1,0,32.0,0,32.0,0
0,6,28.0,2,0,0,0,0,28.0,0,28.0,0
0,6,25.0,2,0,0,0,0,25.0,0,25.0,0
0,7,23.0,0,0,0,0,0,23.0,0,23.0,0
0,6,26.0,2,0,0,0,0,26.0,0,26.0,0
1,6,42.0,1,3,0,0,0,42.0,0,42.0,0
0,3,30.0,1,3,0,0,9,30.0,0,30.0,0
0,6,31.0,2,0,0,0,0,31.0,0,31.0,0
1,7,26.0,1,4,0,1,0,26.0,0,26.0,0
0,3,26.0,0,2,1,1,0,26.0,1,26.0,0
0,7,34.0,2,2,1,1,0,34.0,0,34.0,0
0,6,28.0,2,1,0,1,0,28.0,0,28.0,0
0,2,37.0,1,0,0,0,0,37.0,0,37.0,0
0,3,48.0,2,1,0,1,0,48.0,0,48.0,0
0,3,30.0,1,2,1,1,0,30.0,1,30.0,0
0,2,44.0,1,2,1,1,0,44.0,0,44.0,0
0,6,18.0,1,1,0,1,0,18.0,0,18.0,0
0,3,21.0,2,0,0,0,0,21.0,0,21.0,0
0,6,37.0,1,0,0,0,5,37.0,0,37.0,0
0,3,39.0,0,1,0,1,3,39.0,0,39.0,0
0,6,45.0,1,2,1,1,0,45.0,1,45.0,1
0,3,34.0,2,0,0,0,0,34.0,0,34.0,0
1,7,17.0,1,3,0,0,0,17.0,0,17.0,0
0,6,24.0,0,0,0,0,0,24.0,1,24.0,0
0,7,35.0,2,3,0,0,2,35.0,0,35.0,0
0,6,31.0,2,10,1,1,0,31.0,1,31.0,0
1,6,36.0,1,4,0,1,2,36.0,0,36.0,0
0,3,29.0,2,0,0,0,0,29.0,0,29.0,0
0,6,52.0,1,1,0,1,0,52.0,0,52.0,0
0,6,28.0,2,2,1,1,0,28.0,1,28.0,0
0,6,49.0,0,0,0,0,0,49.0,0,49.0,0
0,5,40.0,2,2,1,1,0,40.0,0,40.0,0
1,3,32.0,1,3,0,0,2,32.0,0,32.0,0
0,3,26.0,1,0,0,0,0,26.0,0,26.0,0
0,8,28.0,1,4,0,1,3,28.0,0,28.0,0
1,6,33.0,1,6,1,1,0,33.0,0,33.0,0
0,9,24.0,2,0,0,0,0,24.0,0,24.0,0
0,2,50.0,1,0,0,0,0,50.0,0,50.0,0
0,3,40.0,2,1,0,1,0,40.0,0,40.0,0
0,3,30.0,2,1,0,1,0,30.0,0,30.0,0
0,2,21.0,1,1,0,1,2,21.0,0,21.0,0
0,6,32.0,2,0,0,0,0,32.0,0,32.0,0
0,3,37.0,1,7,1,0,0,37.0,1,37.0,0
0,3,24.0,1,1,0,1,0,24.0,0,24.0,0
1,3,31.0,2,6,1,1,0,31.0,0,31.0,0
0,2,48.0,2,2,1,1,0,48.0,0,48.0,0
0,8,58.0,1,2,1,1,0,58.0,0,58.0,0
0,6,38.0,1,1,0,1,0,38.0,0,38.0,0
0,3,25.0,1,0,0,0,0,25.0,0,25.0,0
1,3,21.0,2,4,0,1,0,21.0,0,21.0,0
1,3,19.0,2,4,0,1,0,19.0,0,19.0,0
0,6,35.0,2,1,0,1,0,35.0,1,35.0,1
0,6,45.0,0,1,0,1,0,45.0,0,45.0,0
0,7,35.0,1,6,1,1,0,35.0,0,35.0,0
0,6,31.0,2,1,0,1,0,31.0,0,31.0,0
1,6,44.0,1,6,1,1,0,44.0,0,44.0,0
0,2,39.0,2,2,1,1,3,39.0,0,39.0,0
0,9,40.0,2,7,1,0,0,40.0,0,40.0,0
0,6,32.0,1,7,1,0,0,32.0,0,32.0,0
1,3,19.0,1,4,0,1,0,19.0,0,19.0,0
1,6,18.0,2,3,0,0,0,18.0,1,18.0,0
0,6,20.0,2,1,0,1,0,20.0,0,20.0,0
0,2,41.0,0,6,1,1,0,41.0,0,41.0,0
0,3,33.0,2,10,1,1,0,33.0,0,33.0,0
0,3,50.0,2,2,1,1,0,50.0,0,50.0,0
0,6,24.0,0,1,0,1,0,24.0,1,24.0,1
0,3,44.0,0,1,0,1,0,44.0,0,44.0,0
0,8,44.0,1,0,0,0,0,44.0,0,44.0,0
0,3,23.0,1,4,0,1,5,23.0,0,23.0,0
1,4,40.0,1,4,0,1,2,40.0,0,40.0,0
0,3,24.0,2,1,0,1,0,24.0,0,24.0,0
0,3,38.0,0,2,1,1,0,38.0,0,38.0,0
0,6,57.0,1,1,0,1,5,57.0,0,57.0,0
0,6,54.0,1,0,0,0,0,54.0,1,54.0,0
0,6,30.0,2,1,0,1,0,30.0,0,30.0,0
0,3,20.0,1,1,0,1,3,20.0,0,20.0,0
1,6,24.0,1,4,0,1,0,24.0,0,24.0,0
0,6,40.0,0,2,1,1,0,40.0,0,40.0,0
0,3,26.0,2,1,0,1,0,26.0,1,26.0,1
0,6,30.0,0,1,0,1,0,30.0,1,30.0,0
0,2,28.0,0,2,1,1,0,28.0,0,28.0,0
0,7,28.0,1,1,0,1,0,28.0,0,28.0,0
1,3,37.0,1,4,0,1,0,37.0,0,37.0,0
0,2,29.0,2,0,0,0,1,29.0,0,29.0,0
0,6,40.0,1,2,1,1,0,40.0,0,40.0,0
0,2,55.0,2,2,1,1,0,55.0,0,55.0,0
0,6,23.0,1,0,0,0,0,23.0,0,23.0,0
1,6,27.0,1,4,0,1,0,27.0,0,27.0,0
0,6,25.0,1,1,0,1,5,25.0,0,25.0,0
0,6,27.0,2,0,0,0,0,27.0,0,27.0,0
0,6,46.0,2,1,0,1,0,46.0,0,46.0,0
0,3,25.0,0,0,0,0,0,25.0,0,25.0,0
1,6,34.0,1,4,0,1,0,34.0,0,34.0,0
1,6,32.0,1,3,0,0,0,32.0,0,32.0,0
0,5,26.0,0,1,0,1,0,26.0,0,26.0,0
0,6,30.0,2,1,0,1,0,30.0,0,30.0,0
0,6,25.0,0,1,0,1,0,25.0,1,25.0,1
0,3,37.0,1,0,0,0,0,37.0,0,37.0,0
0,3,58.0,2,1,0,1,3,58.0,0,58.0,0
0,6,18.0,1,0,0,0,0,18.0,0,18.0,0
0,3,33.0,1,0,0,0,7,33.0,1,33.0,0
0,3,47.0,2,0,0,0,0,47.0,0,47.0,0
0,6,34.0,0,0,0,0,0,34.0,0,34.0,0
0,2,29.0,2,0,0,0,5,29.0,0,29.0,0
1,6,47.0,2,6,1,1,0,47.0,0,47.0,0
0,6,45.0,1,1,0,1,0,45.0,0,45.0,0
0,3,35.0,1,2,1,1,0,35.0,0,35.0,0
1,9,42.0,1,6,1,1,2,42.0,0,42.0,0
0,7,27.0,0,1,0,1,0,27.0,0,27.0,0
0,6,34.0,1,1,0,1,0,34.0,0,34.0,0
0,6,43.0,1,1,0,1,0,43.0,0,43.0,0
0,6,45.0,0,2,1,1,5,45.0,0,45.0,0
0,6,34.0,1,0,0,0,0,34.0,0,34.0,0
1,6,44.0,1,4,0,1,0,44.0,0,44.0,0
1,2,27.0,1,6,1,1,0,27.0,0,27.0,0
0,2,35.0,1,2,1,1,0,35.0,0,35.0,0
0,6,39.0,0,1,0,1,0,39.0,0,39.0,0
0,6,39.0,1,0,0,0,7,39.0,1,39.0,0
0,6,53.0,1,1,0,1,0,53.0,0,53.0,0
0,6,41.0,2,0,0,0,0,41.0,0,41.0,0
0,2,31.0,1,2,1,1,0,31.0,0,31.0,0
0,6,33.0,1,1,0,1,0,33.0,0,33.0,0
0,6,23.0,1,0,0,0,0,23.0,0,23.0,0
1,6,45.0,1,4,0,1,3,45.0,0,45.0,0
1,7,22.0,1,4,0,1,8,22.0,0,22.0,0
0,6,30.0,0,1,0,1,0,30.0,0,30.0,0
0,3,47.0,2,1,0,1,0,47.0,0,47.0,0
0,6,37.0,0,7,1,0,0,37.0,0,37.0,0
0,6,40.0,1,7,1,0,0,40.0,0,40.0,0
0,3,38.0,0,2,1,1,0,38.0,0,38.0,0
0,3,31.0,0,1,0,1,1,31.0,0,31.0,0
0,2,35.0,2,1,0,1,5,35.0,1,35.0,1
0,6,45.0,1,1,0,1,0,45.0,0,45.0,0
0,3,40.0,1,2,1,1,0,40.0,0,40.0,0
0,6,30.0,0,1,0,1,0,30.0,1,30.0,1
0,6,40.0,1,1,0,1,0,40.0,0,40.0,0
0,3,19.0,1,1,0,1,0,19.0,1,19.0,0
0,5,42.0,1,2,1,1,0,42.0,0,42.0,0
1,6,60.0,2,6,1,1,0,60.0,0,60.0,0
0,3,44.0,2,1,0,1,0,44.0,0,44.0,0
1,3,21.0,2,3,0,0,6,21.0,1,21.0,0
0,2,37.0,1,2,1,1,0,37.0,0,37.0,0
1,6,28.0,1,4,0,1,0,28.0,0,28.0,0
0,6,26.0,2,0,0,0,0,26.0,0,26.0,0
0,6,39.0,1,1,0,1,0,39.0,0,39.0,0
0,6,27.0,2,0,0,0,5,27.0,0,27.0,0
0,6,25.0,1,1,0,1,0,25.0,0,25.0,0
0,3,34.0,1,0,0,0,0,34.0,0,34.0,0
1,2,40.0,2,6,1,1,0,40.0,0,40.0,0
0,6,18.0,1,0,0,0,0,18.0,0,18.0,0
0,3,51.0,0,1,0,1,0,51.0,0,51.0,0
0,6,39.0,1,2,1,1,0,39.0,0,39.0,0
0,3,16.0,1,0,0,0,0,16.0,1,16.0,0
0,7,47.0,1,2,1,1,0,47.0,0,47.0,0
0,2,45.0,1,2,1,1,0,45.0,0,45.0,0
0,6,27.0,0,1,0,1,0,27.0,0,27.0,0
0,3,29.0,1,0,0,0,0,29.0,1,29.0,0
0,6,47.0,1,1,0,1,0,47.0,0,47.0,0
0,6,39.0,1,1,0,1,0,39.0,0,39.0,0
0,3,34.0,1,1,0,1,0,34.0,0,34.0,0
0,3,67.0,1,2,1,1,0,67.0,0,67.0,0
0,3,43.0,1,2,1,1,0,43.0,0,43.0,0
1,3,53.0,0,6,1,1,0,53.0,0,53.0,0
0,3,26.0,0,7,1,0,0,26.0,0,26.0,0
0,3,24.0,2,1,0,1,0,24.0,0,24.0,0
0,6,32.0,0,1,0,1,0,32.0,1,32.0,0
0,6,60.0,0,7,1,0,0,60.0,0,60.0,0
0,6,51.0,1,2,1,1,0,51.0,0,51.0,0
1,3,20.0,1,4,0,1,2,20.0,0,20.0,0
0,7,37.0,2,2,1,1,0,37.0,0,37.0,0
1,6,22.0,1,3,0,0,0,22.0,0,22.0,0
0,7,47.0,1,1,0,1,0,47.0,0,47.0,0
0,7,43.0,1,0,0,0,0,43.0,0,43.0,0
0,3,50.0,0,10,1,1,0,50.0,0,50.0,0
0,3,35.0,0,1,0,1,0,35.0,0,35.0,0
0,6,30.0,1,1,0,1,0,30.0,0,30.0,0
0,3,29.0,1,1,0,1,0,29.0,0,29.0,0
0,2,30.0,2,1,0,1,0,30.0,0,30.0,0
0,6,23.0,0,1,0,1,0,23.0,0,23.0,0
0,2,30.0,2,2,1,1,0,30.0,0,30.0,0
0,0,17.0,0,0,0,0,0,17.0,1,17.0,0
0,2,35.0,1,1,0,1,0,35.0,0,35.0,0
1,7,27.0,2,3,0,0,0,27.0,0,27.0,0
0,3,31.0,0,1,0,1,0,31.0,1,31.0,0
0,3,25.0,2,1,0,1,5,25.0,0,25.0,0
0,6,31.0,2,1,0,1,3,31.0,0,31.0,0
1,3,28.0,2,3,0,0,0,28.0,0,28.0,0
0,3,21.0,1,0,0,0,0,21.0,1,21.0,0
1,2,21.0,1,3,0,0,0,21.0,0,21.0,0
1,6,32.0,2,3,0,0,0,32.0,0,32.0,0
0,2,40.0,2,2,1,1,0,40.0,0,40.0,0
0,6,34.0,2,0,0,0,0,34.0,0,34.0,0
0,6,21.0,2,1,0,1,0,21.0,0,21.0,0
0,6,26.0,0,1,0,1,0,26.0,0,26.0,0
0,3,70.0,2,1,0,1,0,70.0,0,70.0,0
0,7,37.0,2,2,1,1,0,37.0,0,37.0,0
1,6,44.0,1,6,1,1,0,44.0,0,44.0,0
0,2,23.0,1,2,1,1,0,23.0,0,23.0,0
1,6,50.0,0,3,0,0,3,50.0,0,50.0,0
0,3,34.0,0,0,0,0,0,34.0,0,34.0,0
0,2,34.0,1,2,1,1,0,34.0,1,34.0,1
0,3,59.0,2,0,0,0,0,59.0,0,59.0,0
0,3,38.0,0,1,0,1,0,38.0,0,38.0,0
0,2,53.0,1,2,1,1,0,53.0,0,53.0,0
1,6,46.0,2,4,0,1,0,46.0,0,46.0,0
0,2,39.0,1,1,0,1,0,39.0,1,39.0,1
0,3,49.0,1,1,0,1,0,49.0,1,49.0,0
1,6,45.0,1,4,0,1,0,45.0,1,45.0,1
0,6,24.0,0,1,0,1,0,24.0,0,24.0,0
0,6,46.0,1,0,0,0,0,46.0,0,46.0,0
1,6,18.0,1,4,0,1,0,18.0,0,18.0,0
0,2,20.0,2,0,0,0,0,20.0,0,20.0,0
0,3,25.0,0,0,0,0,0,25.0,0,25.0,0
0,3,25.0,2,7,1,0,5,25.0,0,25.0,0
0,3,38.0,0,0,0,0,0,38.0,0,38.0,0
0,6,48.0,1,2,1,1,0,48.0,0,48.0,0
0,3,21.0,1,1,0,1,0,21.0,0,21.0,0
0,3,19.0,1,0,0,0,0,19.0,0,19.0,0
1,7,27.0,1,4,0,1,0,27.0,0,27.0,0
0,6,44.0,2,1,0,1,5,44.0,0,44.0,0
0,7,64.0,1,2,1,1,2,64.0,0,64.0,0
1,6,62.0,1,4,0,1,0,62.0,0,62.0,0
0,3,22.0,0,1,0,1,0,22.0,1,22.0,0
0,3,27.0,0,0,0,0,0,27.0,0,27.0,0
1,7,40.0,1,6,1,1,0,40.0,0,40.0,0
0,2,32.0,2,2,1,1,0,32.0,0,32.0,0
1,3,19.0,1,10,1,1,3,19.0,0,19.0,0
1,7,38.0,2,4,0,1,0,38.0,0,38.0,0
0,3,38.0,2,2,1,1,0,38.0,0,38.0,0
0,6,42.0,0,1,0,1,0,42.0,0,42.0,0
0,3,38.0,0,2,1,1,7,38.0,1,38.0,0
0,3,48.0,2,10,1,1,6,48.0,0,48.0,0
0,3,31.0,2,0,0,0,0,31.0,1,31.0,1
0,2,23.0,2,0,0,0,0,23.0,0,23.0,0
0,6,46.0,1,2,1,1,2,46.0,0,46.0,0
0,6,37.0,2,1,0,1,0,37.0,0,37.0,0
0,6,53.0,2,1,0,1,0,53.0,1,53.0,0
0,6,35.0,0,0,0,0,0,35.0,0,35.0,0
1,7,26.0,1,4,0,1,0,26.0,0,26.0,0
0,6,63.0,1,10,1,1,0,63.0,0,63.0,0
0,3,37.0,0,0,0,0,0,37.0,0,37.0,0
0,6,32.0,2,2,1,1,0,32.0,0,32.0,0
0,3,28.0,0,0,0,0,0,28.0,0,28.0,0
0,3,21.0,0,4,0,1,3,21.0,0,21.0,0
0,7,42.0,0,1,0,1,3,42.0,0,42.0,0
0,6,48.0,1,1,0,1,0,48.0,0,48.0,0
1,6,25.0,1,4,0,1,0,25.0,0,25.0,0
0,6,45.0,2,0,0,0,0,45.0,0,45.0,0
0,3,56.0,1,2,1,1,0,56.0,0,56.0,0
0,3,39.0,2,0,0,0,0,39.0,1,39.0,0
1,6,42.0,1,4,0,1,0,42.0,0,42.0,0
0,2,56.0,2,2,1,1,3,56.0,0,56.0,0
0,2,23.0,2,0,0,0,5,23.0,1,23.0,0
0,3,37.0,1,0,0,0,0,37.0,0,37.0,0
0,6,38.0,2,1,0,1,0,38.0,0,38.0,0
0,6,63.0,1,7,1,0,7,63.0,0,63.0,0
1,6,46.0,1,4,0,1,0,46.0,0,46.0,0
1,7,23.0,1,4,0,1,2,23.0,0,23.0,0
1,8,20.0,1,4,0,1,5,20.0,0,20.0,0
0,3,22.0,1,1,0,1,0,22.0,0,22.0,0
1,6,40.0,1,1,0,1,0,40.0,0,40.0,0
0,6,41.0,1,1,0,1,0,41.0,0,41.0,0
0,2,28.0,1,1,0,1,0,28.0,1,28.0,0
0,3,31.0,1,0,0,0,0,31.0,0,31.0,0
0,6,26.0,0,0,0,0,0,26.0,1,26.0,0
0,3,26.0,1,0,0,0,0,26.0,0,26.0,0
0,3,29.0,0,0,0,0,0,29.0,0,29.0,0
0,3,55.0,1,1,0,1,0,55.0,0,55.0,0
0,3,37.0,0,2,1,1,0,37.0,0,37.0,0
0,7,29.0,0,2,1,1,0,29.0,0,29.0,0
0,2,28.0,2,1,0,1,0,28.0,0,28.0,0
0,3,20.0,0,0,0,0,0,20.0,1,20.0,0
0,3,50.0,0,0,0,0,0,50.0,0,50.0,0
0,6,44.0,2,0,0,0,0,44.0,0,44.0,0
1,6,31.0,2,11,1,1,0,31.0,0,31.0,0
0,6,40.0,2,7,1,0,0,40.0,0,40.0,0
0,3,23.0,0,3,0,0,7,23.0,1,23.0,1
1,3,48.0,0,3,0,0,0,48.0,0,48.0,0
1,6,47.0,2,6,1,1,0,47.0,0,47.0,0
0,6,28.0,1,1,0,1,0,28.0,0,28.0,0
0,6,23.0,0,0,0,0,0,23.0,0,23.0,0
0,3,59.0,1,2,1,1,0,59.0,0,59.0,0
0,6,34.0,1,1,0,1,0,34.0,0,34.0,0
0,3,45.0,0,2,1,1,3,45.0,0,45.0,0
